embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
XXX,019,9999,0,HS-XTI,0,30121899,0000,30121899,0000,0
XXX,019,9999,0,HS-XTI,0,30121899,0000,30121899,0000,0
XXX,000,9999,0,HS-XTI,0,30121899,0000,30121899,0000,0
BDJ,001,8301,BDJ,HS-XTI,JED,02062026,1720,03062026,0355,333
BDJ,001,8401,JED,HS-XTI,KNO,03062026,0555,03062026,1505,333
BDJ,001,8401,KNO,HS-XTI,BDJ,03062026,1605,03062026,1915,333
BDJ,002,8302,BDJ,HS-XTI,JED,04062026,0425,04062026,1500,333
BDJ,002,8402,JED,HS-XTI,KNO,04062026,1700,05062026,0210,333
BDJ,002,8402,KNO,HS-XTI,BDJ,05062026,0310,05062026,0620,333
BDJ,003,8303,BDJ,HS-XTI,JED,05062026,1625,06062026,0300,333
BDJ,003,8403,JED,HS-XTI,KNO,06062026,0500,06062026,1410,333
BDJ,003,8403,KNO,HS-XTI,BDJ,06062026,1510,06062026,1820,333
BDJ,004,8304,BDJ,HS-XTI,JED,07062026,1425,08062026,0100,333
BDJ,004,8404,JED,HS-XTI,KNO,08062026,0300,08062026,1210,333
BDJ,004,8404,KNO,HS-XTI,BDJ,08062026,1310,08062026,1620,333
BDJ,005,8305,BDJ,HS-XTI,JED,08062026,2325,09062026,1000,333
BDJ,005,8405,JED,HS-XTI,KNO,09062026,1200,09062026,2110,333
BDJ,005,8405,KNO,HS-XTI,BDJ,09062026,2210,10062026,0120,333
BDJ,006,974,BDJ,HS-XTI,JED,10062026,0810,10062026,1845,333
BDJ,006,975,JED,HS-XTI,KNO,10062026,2045,11062026,0555,333
BDJ,006,975,KNO,HS-XTI,BDJ,11062026,0655,11062026,1005,333
BDJ,007,8307,BDJ,HS-XTI,JED,11062026,1825,12062026,0500,333
BDJ,007,8407,JED,HS-XTI,KNO,12062026,0700,12062026,1610,333
BDJ,007,8407,KNO,HS-XTI,BDJ,12062026,1710,12062026,2020,333
BDJ,008,8308,BDJ,HS-XTI,JED,13062026,0425,13062026,1500,333
BDJ,008,8408,JED,HS-XTI,KNO,13062026,1700,14062026,0210,333
BDJ,008,8408,KNO,HS-XTI,BDJ,14062026,0310,14062026,0620,333
BDJ,009,8309,BDJ,HS-XTI,JED,14062026,1625,15062026,0300,333
BDJ,009,8409,JED,HS-XTI,KNO,15062026,0500,15062026,1410,333
BDJ,009,8409,KNO,HS-XTI,BDJ,15062026,1510,15062026,1820,333
BDJ,010,8310,BDJ,HS-XTI,MED,16062026,1430,17062026,0100,333
BDJ,010,8410,MED,HS-XTI,HYD,17062026,0300,17062026,0835,333
BDJ,010,8410,HYD,HS-XTI,BDJ,17062026,0935,17062026,1600,333
BDJ,011,8311,BDJ,HS-XTI,MED,18062026,0325,18062026,1355,333
BDJ,011,8411,MED,HS-XTI,HYD,18062026,1555,18062026,2130,333
BDJ,011,8411,HYD,HS-XTI,BDJ,18062026,2230,19062026,0455,333
BDJ,012,8312,BDJ,HS-XTI,MED,19062026,1740,20062026,0410,333
BDJ,012,8412,MED,HS-XTI,HYD,20062026,0610,20062026,1145,333
BDJ,012,8412,HYD,HS-XTI,BDJ,20062026,1245,20062026,1910,333
BDJ,013,8313,BDJ,HS-XTI,MED,21062026,0645,21062026,1715,333
BDJ,013,8413,MED,HS-XTI,HYD,21062026,1915,22062026,0050,333
BDJ,013,8413,HYD,HS-XTI,BDJ,22062026,0150,22062026,0815,333
BDJ,014,8314,BDJ,HS-XTI,MED,22062026,1915,23062026,0545,333
BDJ,014,8414,MED,HS-XTI,HYD,23062026,0745,23062026,1320,333
BDJ,014,8414,HYD,HS-XTI,BDJ,23062026,1420,23062026,2045,333
BDJ,015,8315,BDJ,HS-XTI,MED,24062026,0720,24062026,1750,333
BDJ,015,8415,MED,HS-XTI,HYD,24062026,1950,25062026,0125,333
BDJ,015,8415,HYD,HS-XTI,BDJ,25062026,0225,25062026,0850,333
BDJ,016,8316,BDJ,HS-XTI,MED,25062026,1950,26062026,0620,333
BDJ,016,8416,MED,HS-XTI,HYD,26062026,0820,26062026,1355,333
BDJ,016,8416,HYD,HS-XTI,BDJ,26062026,1455,26062026,2120,333
BDJ,017,8317,BDJ,HS-XTI,MED,27062026,0530,27062026,1600,333
BDJ,017,8417,MED,HS-XTI,HYD,27062026,1800,27062026,2335,333
BDJ,017,8417,HYD,HS-XTI,BDJ,28062026,0035,28062026,0700,333
BDJ,018,8318,BDJ,HS-XTI,MED,28062026,1830,29062026,0500,333
BDJ,018,8418,MED,HS-XTI,HYD,29062026,0700,29062026,1235,333
BDJ,018,8418,HYD,HS-XTI,BDJ,29062026,1335,29062026,2000,333
BDJ,019,8319,BDJ,HS-XTI,MED,30062026,0630,30062026,1700,333
BDJ,019,8419,MED,HS-XTI,HYD,30062026,1900,01072026,0035,333
BDJ,019,8419,HYD,HS-XTI,BDJ,01072026,0135,01072026,0800,333
XXX,019,9999,0,HS-XTI,0,30121899,0000,30121899,0000,0
