embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
BPN,001,4101,BPN,PK-GHH,CGK,05052025,1850,05052025,2100,339
BPN,001,4101,CGK,PK-GHH,MED,05052025,2200,06052025,0800,339
BPN,001,4201,MED,PK-GHH,BPN,06052025,0930,06052025,2105,339
BPN,002,4102,BPN,PK-GHH,CGK,07052025,0650,07052025,0900,339
BPN,002,4102,CGK,PK-GHH,MED,07052025,1000,07052025,2000,339
BPN,002,4202,MED,PK-GHH,BPN,07052025,2130,08052025,0905,339
BPN,003,4103,BPN,PK-GHH,CGK,09052025,1220,09052025,1430,339
BPN,003,4103,CGK,PK-GHH,MED,09052025,1530,10052025,0130,339
BPN,003,4203,MED,PK-GHH,BPN,10052025,0300,10052025,1435,339
BPN,004,4104,BPN,PK-GHH,CGK,10052025,2350,11052025,0200,339
BPN,004,4104,CGK,PK-GHH,MED,11052025,0300,11052025,1300,339
BPN,004,4204,MED,PK-GHH,BPN,11052025,1430,12052025,0205,339
BPN,005,4105,BPN,PK-GHH,CGK,12052025,0920,12052025,1130,339
BPN,005,4105,CGK,PK-GHH,MED,12052025,1230,12052025,2230,339
BPN,005,4205,MED,PK-GHH,BPN,13052025,0000,13052025,1135,339
BPN,006,4106,BPN,PK-GHH,CGK,14052025,0500,14052025,0710,339
BPN,006,4106,CGK,PK-GHH,MED,14052025,0810,14052025,1810,339
BPN,006,4206,MED,PK-GHH,BPN,14052025,1950,15052025,0725,339
BPN,007,4107,BPN,PK-GHH,CGK,16052025,1600,16052025,1810,339
BPN,007,4107,CGK,PK-GHH,JED,16052025,1910,17052025,0500,339
BPN,007,4207,JED,PK-GHH,BPN,17052025,0630,17052025,1820,339
BPN,008,4108,BPN,PK-GHH,CGK,17052025,2235,18052025,0045,339
BPN,008,4108,CGK,PK-GHH,JED,18052025,0145,18052025,1135,339
BPN,008,4208,JED,PK-GHH,BPN,18052025,1335,19052025,0125,339
BPN,009,4109,BPN,PK-GHH,CGK,19052025,0545,19052025,0755,339
BPN,009,4109,CGK,PK-GHH,JED,19052025,0855,19052025,1845,339
BPN,009,4209,JED,PK-GHH,BPN,19052025,2100,20052025,0850,339
BPN,010,4110,BPN,PK-GHH,CGK,20052025,1900,20052025,2110,339
BPN,010,4110,CGK,PK-GHH,JED,20052025,2210,21052025,0800,339
BPN,010,4210,JED,PK-GHH,BPN,21052025,0930,21052025,2120,339
BPN,011,4111,BPN,PK-GHH,CGK,22052025,0545,22052025,0755,339
BPN,011,4111,CGK,PK-GHH,JED,22052025,0855,22052025,1845,339
BPN,011,4211,JED,PK-GHH,BPN,22052025,2100,23052025,0850,339
BPN,012,4112,BPN,PK-GHH,CGK,23052025,1600,23052025,1810,339
BPN,012,4112,CGK,PK-GHH,JED,23052025,1910,24052025,0500,339
BPN,012,4212,JED,PK-GHH,BPN,24052025,0630,24052025,1820,339
BPN,013,4113,BPN,PK-GHH,CGK,25052025,0400,25052025,0610,339
BPN,013,4113,CGK,PK-GHH,JED,25052025,0710,25052025,1700,339
BPN,013,4213,JED,PK-GHH,BPN,25052025,1830,26052025,0620,339
BPN,014,4114,BPN,PK-GHH,CGK,26052025,1900,26052025,2110,339
BPN,014,4114,CGK,PK-GHH,JED,26052025,2210,27052025,0800,339
BPN,014,4214,JED,PK-GHH,BPN,27052025,0930,27052025,2120,339
BPN,015,4115,BPN,PK-GHH,CGK,28052025,0400,28052025,0610,339
BPN,015,4115,CGK,PK-GHH,JED,28052025,0710,28052025,1700,339
BPN,015,4215,JED,PK-GHH,BPN,28052025,1830,29052025,0620,339
BPN,016,4116,BPN,PK-GHH,CGK,29052025,1900,29052025,2110,339
BPN,016,4116,CGK,PK-GHH,JED,29052025,2210,30052025,0800,339
BPN,016,4216,JED,PK-GHH,BPN,30052025,0930,30052025,2120,339
