embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
BPN,001,4101,BPN,PK-GHH,CGK,26042026,1555,26042026,1815,33H
BPN,001,4101,CGK,PK-GHH,MED,26042026,1915,27042026,0515,33H
BPN,001,4201,MED,PK-GHH,BPN,27042026,0645,27042026,1730,33H
BPN,002,4102,BPN,PK-GHH,CGK,28042026,1540,28042026,1800,33H
BPN,002,4102,CGK,PK-GHH,MED,28042026,1900,29042026,0500,33H
BPN,002,4202,MED,PK-GHH,BPN,29042026,0630,29042026,1715,33H
BPN,003,4103,BPN,PK-GHH,CGK,30042026,0755,30042026,1015,33H
BPN,003,4103,CGK,PK-GHH,MED,30042026,1115,30042026,2115,33H
BPN,003,4203,MED,PK-GHH,BPN,30042026,2245,01052026,0930,33H
BPN,004,4104,BPN,PK-GHH,CGK,01052026,1740,01052026,2000,33H
BPN,004,4104,CGK,PK-GHH,MED,01052026,2100,02052026,0700,33H
BPN,004,4204,MED,PK-GHH,BPN,02052026,0830,02052026,1915,33H
BPN,005,4105,BPN,PK-GHH,CGK,03052026,0740,03052026,1000,33H
BPN,005,4105,CGK,PK-GHH,MED,03052026,1100,03052026,2100,33H
BPN,005,4205,MED,PK-GHH,BPN,03052026,2230,04052026,0915,33H
BPN,006,4106,BPN,PK-GHH,CGK,04052026,1740,04052026,2000,33H
BPN,006,4106,CGK,PK-GHH,MED,04052026,2100,05052026,0700,33H
BPN,006,4206,MED,PK-GHH,BPN,05052026,0830,05052026,1915,33H
BPN,007,4107,BPN,PK-GHH,CGK,06052026,0155,06052026,0415,33H
BPN,007,4107,CGK,PK-GHH,MED,06052026,0515,06052026,1515,33H
BPN,007,4207,MED,PK-GHH,BPN,06052026,1645,07052026,0330,33H
BPN,008,4108,BPN,PK-GHH,CGK,07052026,1350,07052026,1600,33H
BPN,008,4108,CGK,PK-GHH,JED,07052026,1700,08052026,0300,33H
BPN,008,4208,JED,PK-GHH,BPN,08052026,0430,08052026,1605,33H
BPN,009,4109,BPN,PK-GHH,CGK,08052026,2345,09052026,0155,33H
BPN,009,4109,CGK,PK-GHH,JED,09052026,0255,09052026,1255,33H
BPN,009,4209,JED,PK-GHH,BPN,09052026,1425,10052026,0200,33H
BPN,010,4110,BPN,PK-GHH,CGK,10052026,1150,10052026,1400,33H
BPN,010,4110,CGK,PK-GHH,JED,10052026,1500,11052026,0100,33H
BPN,010,4210,JED,PK-GHH,BPN,11052026,0230,11052026,1405,33H
BPN,011,4111,BPN,PK-GHH,CGK,11052026,2250,12052026,0100,33H
BPN,011,4111,CGK,PK-GHH,JED,12052026,0200,12052026,1200,33H
BPN,011,4211,JED,PK-GHH,BPN,12052026,1330,13052026,0105,33H
BPN,012,4112,BPN,PK-GHH,CGK,13052026,0830,13052026,1040,33H
BPN,012,4112,CGK,PK-GHH,JED,13052026,1140,13052026,2140,33H
BPN,012,4212,JED,PK-GHH,BPN,13052026,2310,14052026,1045,33H
BPN,013,4113,BPN,PK-GHH,CGK,14052026,2350,15052026,0200,33H
BPN,013,4113,CGK,PK-GHH,JED,15052026,0300,15052026,1300,33H
BPN,013,4213,JED,PK-GHH,BPN,15052026,1430,16052026,0205,33H
BPN,014,4114,BPN,PK-GHH,CGK,16052026,1350,16052026,1600,33H
BPN,014,4114,CGK,PK-GHH,JED,16052026,1700,17052026,0300,33H
BPN,014,4214,JED,PK-GHH,BPN,17052026,0430,17052026,1605,33H
BPN,015,4115,BPN,PK-GHH,CGK,18052026,0250,18052026,0500,33H
BPN,015,4115,CGK,PK-GHH,JED,18052026,0600,18052026,1600,33H
BPN,015,4215,JED,PK-GHH,BPN,18052026,1730,19052026,0505,33H
BPN,016,4116,BPN,PK-GHH,CGK,19052026,1320,19052026,1530,33H
BPN,016,4116,CGK,PK-GHH,JED,19052026,1630,20052026,0230,33H
BPN,016,4216,JED,PK-GHH,BPN,20052026,0400,20052026,1535,33H
BPN,017,4117,BPN,PK-GHH,SOC,20052026,1450,20052026,1640,339
BPN,017,4117,SOC,PK-GHH,CGK,21052026,0105,21052026,0215,339
BPN,017,4117,CGK,PK-GHH,JED,21052026,0315,21052026,1255,339
BPN,017,4217,JED,PK-GHH,SOC,21052026,1425,22052026,0105,339
XXX,017,9999,0,PK-GHH,0,30121899,0000,30121899,0000,0
XXX,000,9999,0,PK-GHH,0,30121899,0000,30121899,0000,0
BPN,001,4301,BPN,PK-GHH,JED,06062026,1255,06062026,2330,33H
BPN,001,4401,JED,PK-GHH,KNO,07062026,0130,07062026,1040,33H
BPN,001,4401,KNO,PK-GHH,BPN,07062026,1140,07062026,1510,33H
BPN,002,4302,BPN,PK-GHH,JED,07062026,2325,08062026,1000,33H
BPN,002,4402,JED,PK-GHH,KNO,08062026,1200,08062026,2110,33H
BPN,002,4402,KNO,PK-GHH,BPN,08062026,2210,09062026,0140,33H
BPN,003,4303,BPN,PK-GHH,JED,09062026,1255,09062026,2330,33H
BPN,003,4403,JED,PK-GHH,KNO,10062026,0130,10062026,1040,33H
BPN,003,4403,KNO,PK-GHH,BPN,10062026,1140,10062026,1510,33H
BPN,004,4304,BPN,PK-GHH,JED,10062026,2025,11062026,0700,33H
BPN,004,4404,JED,PK-GHH,KNO,11062026,0900,11062026,1810,33H
BPN,004,4404,KNO,PK-GHH,BPN,11062026,1910,11062026,2240,33H
BPN,005,940,BPN,PK-GHH,JED,12062026,0810,12062026,1845,33H
BPN,005,941,JED,PK-GHH,KNO,12062026,2045,13062026,0555,33H
BPN,005,941,KNO,PK-GHH,BPN,13062026,0655,13062026,1025,33H
BPN,006,4306,BPN,PK-GHH,JED,13062026,1725,14062026,0400,33H
BPN,006,4406,JED,PK-GHH,KNO,14062026,0600,14062026,1510,33H
BPN,006,4406,KNO,PK-GHH,BPN,14062026,1610,14062026,1940,33H
BPN,007,4307,BPN,PK-GHH,JED,15062026,0425,15062026,1500,33H
BPN,007,4407,JED,PK-GHH,KNO,15062026,1700,16062026,0210,33H
BPN,007,4407,KNO,PK-GHH,BPN,16062026,0310,16062026,0640,33H
BPN,008,4308,BPN,PK-GHH,MED,16062026,1835,17062026,0515,33H
BPN,008,4408,MED,PK-GHH,HYD,17062026,0715,17062026,1255,33H
BPN,008,4408,HYD,PK-GHH,BPN,17062026,1355,17062026,2055,33H
BPN,009,4309,BPN,PK-GHH,MED,18062026,0320,18062026,1400,33H
BPN,009,4409,MED,PK-GHH,HYD,18062026,1600,18062026,2140,33H
BPN,009,4409,HYD,PK-GHH,BPN,18062026,2240,19062026,0540,33H
BPN,010,4310,BPN,PK-GHH,MED,19062026,1610,20062026,0250,33H
BPN,010,4410,MED,PK-GHH,HYD,20062026,0450,20062026,1030,33H
BPN,010,4410,HYD,PK-GHH,BPN,20062026,1130,20062026,1830,33H
BPN,011,4311,BPN,PK-GHH,MED,21062026,0035,21062026,1115,33H
BPN,011,4411,MED,PK-GHH,HYD,21062026,1315,21062026,1855,33H
BPN,011,4411,HYD,PK-GHH,BPN,21062026,1955,22062026,0255,33H
BPN,012,4312,BPN,PK-GHH,MED,22062026,1435,23062026,0115,33H
BPN,012,4412,MED,PK-GHH,HYD,23062026,0315,23062026,0855,33H
BPN,012,4412,HYD,PK-GHH,BPN,23062026,0955,23062026,1655,33H
BPN,013,4313,BPN,PK-GHH,MED,24062026,0335,24062026,1415,33H
BPN,013,4413,MED,PK-GHH,HYD,24062026,1615,24062026,2155,33H
BPN,013,4413,HYD,PK-GHH,BPN,24062026,2255,25062026,0555,33H
BPN,014,4314,BPN,PK-GHH,MED,25062026,1520,26062026,0200,33H
BPN,014,4414,MED,PK-GHH,HYD,26062026,0400,26062026,0940,33H
BPN,014,4414,HYD,PK-GHH,BPN,26062026,1040,26062026,1740,33H
BPN,015,4315,BPN,PK-GHH,MED,27062026,0320,27062026,1400,33H
BPN,015,4415,MED,PK-GHH,HYD,27062026,1600,27062026,2140,33H
BPN,015,4415,HYD,PK-GHH,BPN,27062026,2240,28062026,0540,33H
