embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
BTJ,001,2101,BTJ,PK-GIH,MED,05052026,1825,06052026,0230,773
BTJ,001,2201,MED,PK-GIH,BTJ,06052026,0400,06052026,1230,773
BTJ,002,2102,BTJ,PK-GIH,JED,06052026,2025,07052026,0430,773
BTJ,002,2202,JED,PK-GIH,BTJ,07052026,0600,07052026,1430,773
BTJ,003,2103,BTJ,PK-GIH,JED,07052026,2055,08052026,0500,773
BTJ,003,2203,JED,PK-GIH,BTJ,08052026,0630,08052026,1500,773
BTJ,004,2104,BTJ,PK-GIH,JED,08052026,2155,09052026,0600,773
BTJ,004,2204,JED,PK-GIH,BTJ,09052026,0730,09052026,1600,773
BTJ,005,2105,BTJ,PK-GIH,JED,09052026,2355,10052026,0800,773
BTJ,005,2205,JED,PK-GIH,BTJ,10052026,0930,10052026,1800,773
BTJ,006,2106,BTJ,PK-GIH,JED,11052026,0155,11052026,1000,773
BTJ,006,2206,JED,PK-GIH,BTJ,11052026,1130,11052026,2000,773
BTJ,007,2107,BTJ,PK-GIH,JED,12052026,0455,12052026,1300,773
BTJ,007,2207,JED,PK-GIH,BTJ,12052026,1430,12052026,2300,773
BTJ,008,2108,BTJ,PK-GIH,JED,13052026,0655,13052026,1500,773
BTJ,008,2208,JED,PK-GIH,BTJ,13052026,1630,14052026,0100,773
BTJ,009,920,BTJ,PK-GIH,JED,14052026,1040,14052026,1845,773
BTJ,009,921,JED,PK-GIH,BTJ,14052026,2045,15052026,0515,773
BTJ,010,2110,BTJ,PK-GIH,JED,15052026,1315,15052026,2120,773
BTJ,010,2210,JED,PK-GIH,BTJ,15052026,2250,16052026,0720,773
BTJ,011,2111,BTJ,PK-GIH,JED,16052026,1520,16052026,2325,773
BTJ,011,2211,JED,PK-GIH,BTJ,17052026,0055,17052026,0925,773
BTJ,012,2112,BTJ,PK-GIH,JED,17052026,1855,18052026,0300,773
BTJ,012,2212,JED,PK-GIH,BTJ,18052026,0430,18052026,1300,773
BTJ,013,2113,BTJ,PK-GIH,JED,18052026,2055,19052026,0500,773
BTJ,013,2213,JED,PK-GIH,BTJ,19052026,0630,19052026,1500,773
BTJ,014,2114,BTJ,PK-GIH,JED,19052026,2255,20052026,0700,773
BTJ,014,2214,JED,PK-GIH,CGK,20052026,0830,20052026,2015,773
XXX,014,9999,0,PK-GIH,0,30121899,0000,30121899,0000,0
XXX,000,9999,0,PK-GIH,0,30121899,0000,30121899,0000,0

