embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
UPG,001,1301,CGK,PK-GII,MED,10062025,1315,10062025,2300,773
UPG,001,1401,MED,PK-GII,HYD,11062025,0100,11062025,0650,773
UPG,001,1401,HYD,PK-GII,UPG,11062025,0750,11062025,1500,773
UPG,002,1302,CGK,PK-GII,MED,11062025,0215,11062025,1200,773
UPG,002,1402,MED,PK-GII,HYD,11062025,1400,11062025,1950,773
UPG,002,1402,HYD,PK-GII,UPG,11062025,2050,12062025,0400,773
UPG,003,1303,UPG,PK-GII,MED,11062025,2000,12062025,0700,773
UPG,003,1403,MED,PK-GII,HYD,12062025,0900,12062025,1450,773
UPG,003,1403,HYD,PK-GII,UPG,12062025,1550,12062025,2300,773
UPG,004,1304,UPG,PK-GII,MED,12062025,1200,12062025,2300,773
UPG,004,1404,MED,PK-GII,HYD,13062025,0100,13062025,0650,773
UPG,004,1404,HYD,PK-GII,UPG,13062025,0750,13062025,1500,773
UPG,005,1305,UPG,PK-GII,MED,13062025,0800,13062025,1900,773
UPG,005,1405,MED,PK-GII,HYD,13062025,2100,14062025,0250,773
UPG,005,1405,HYD,PK-GII,UPG,14062025,0350,14062025,1100,773
UPG,006,1306,UPG,PK-GII,MED,13062025,2100,14062025,0800,773
UPG,006,1406,MED,PK-GII,HYD,14062025,1000,14062025,1550,773
UPG,006,1406,HYD,PK-GII,UPG,14062025,1650,14062025,0000,773
UPG,007,1307,UPG,PK-GII,MED,14062025,1600,15062025,0300,773
UPG,007,1407,MED,PK-GII,HYD,15062025,0500,15062025,1050,773
UPG,007,1407,HYD,PK-GII,UPG,15062025,1150,15062025,1900,773
UPG,008,1308,UPG,PK-GII,MED,15062025,0700,15062025,1800,773
UPG,008,1408,MED,PK-GII,HYD,15062025,2000,16062025,0150,773
UPG,008,1408,HYD,PK-GII,UPG,16062025,0250,16062025,1000,773
UPG,009,1309,UPG,PK-GII,MED,15062025,2330,16062025,1030,773
UPG,009,1409,MED,PK-GII,HYD,16062025,1230,16062025,1820,773
UPG,009,1409,HYD,PK-GII,UPG,16062025,1920,17062025,0230,773
UPG,010,1310,UPG,PK-GII,JED,16062025,1500,17062025,0150,773
UPG,010,1410,JED,PK-GII,KNO,17062025,0350,17062025,1240,773
UPG,010,1410,KNO,PK-GII,UPG,17062025,1340,17062025,1730,773
UPG,011,1311,UPG,PK-GII,JED,17062025,1410,18062025,0100,773
UPG,011,1411,JED,PK-GII,KNO,18062025,0300,18062025,1150,773
UPG,011,1411,KNO,PK-GII,UPG,18062025,1250,18062025,1640,773
UPG,012,1312,UPG,PK-GII,MED,18062025,0035,18062025,1135,773
UPG,012,1412,MED,PK-GII,HYD,18062025,1335,18062025,1925,773
UPG,012,1412,HYD,PK-GII,UPG,18062025,2025,19062025,0335,773
UPG,013,1313,UPG,PK-GII,MED,19062025,0035,19062025,1135,773
UPG,013,1413,MED,PK-GII,HYD,19062025,1335,19062025,1925,773
UPG,013,1413,HYD,PK-GII,UPG,19062025,2025,20062025,0335,773
UPG,014,1314,UPG,PK-GII,JED,19062025,1510,20062025,0200,773
UPG,014,1414,JED,PK-GII,KNO,20062025,0400,20062025,1250,773
UPG,014,1414,KNO,PK-GII,UPG,20062025,1350,20062025,1740,773
UPG,015,1315,UPG,PK-GII,JED,20062025,1335,21062025,0025,773
UPG,015,1415,JED,PK-GII,KNO,21062025,0225,21062025,1115,773
UPG,015,1415,KNO,PK-GII,UPG,21062025,1215,21062025,1605,773
UPG,016,1316,UPG,PK-GII,MED,21062025,0710,21062025,1810,773
UPG,016,1416,MED,PK-GII,HYD,21062025,1950,22062025,0140,773
UPG,016,1416,HYD,PK-GII,UPG,22062025,0240,22062025,0950,773
UPG,017,1317,UPG,PK-GII,JED,22062025,0045,22062025,1135,773
UPG,017,1417,JED,PK-GII,KNO,22062025,1335,22062025,2225,773
UPG,017,1417,KNO,PK-GII,UPG,22062025,2325,23062025,0315,773
UPG,018,1318,UPG,PK-GII,JED,22062025,1645,23062025,0335,773
UPG,018,1418,JED,PK-GII,KNO,23062025,0535,23062025,1425,773
UPG,018,1418,KNO,PK-GII,UPG,23062025,1525,23062025,1915,773
UPG,019,1319,UPG,PK-GII,JED,23062025,1245,23062025,2335,773
UPG,019,1419,JED,PK-GII,KNO,24062025,0135,24062025,1025,773
UPG,019,1419,KNO,PK-GII,UPG,24062025,1125,24062025,1515,773
UPG,020,1320,UPG,PK-GII,JED,24062025,0550,24062025,1640,773
UPG,020,1420,JED,PK-GII,KNO,24062025,1840,25062025,0330,773
UPG,020,1420,KNO,PK-GII,UPG,25062025,0430,25062025,0820,773
UPG,021,1321,UPG,PK-GII,JED,25062025,0135,25062025,1225,773
UPG,021,1421,JED,PK-GII,KNO,25062025,1425,25062025,2315,773
UPG,021,1421,KNO,PK-GII,UPG,26062025,0015,26062025,0405,773
UPG,022,1322,UPG,PK-GII,MED,25062025,1440,26062025,0140,773
UPG,022,1422,MED,PK-GII,HYD,26062025,0340,26062025,0930,773
UPG,022,1422,HYD,PK-GII,UPG,26062025,1030,26062025,1740,773
UPG,023,1323,UPG,PK-GII,MED,26062025,1200,26062025,2300,773
UPG,023,1423,MED,PK-GII,HYD,27062025,0100,27062025,0650,773
UPG,023,1423,HYD,PK-GII,UPG,27062025,0750,27062025,1500,773
UPG,024,1324,UPG,PK-GII,MED,27062025,0000,27062025,1100,773
UPG,024,1424,MED,PK-GII,HYD,27062025,1300,27062025,1850,773
UPG,024,1424,HYD,PK-GII,UPG,27062025,1950,28062025,0300,773
UPG,025,1325,UPG,PK-GII,MED,27062025,2130,28062025,0830,773
UPG,025,1425,MED,PK-GII,HYD,28062025,1030,28062025,1620,773
UPG,025,1425,HYD,PK-GII,UPG,28062025,1720,29062025,0030,773
UPG,026,1326,UPG,PK-GII,MED,28062025,0920,28062025,2020,773
UPG,026,1426,MED,PK-GII,HYD,28062025,2220,29062025,0410,773
UPG,026,1426,HYD,PK-GII,UPG,29062025,0510,29062025,1220,773
UPG,027,1327,UPG,PK-GII,MED,29062025,0645,29062025,1745,773
UPG,027,1427,MED,PK-GII,HYD,29062025,1945,30062025,0135,773
UPG,027,1427,HYD,PK-GII,UPG,30062025,0235,30062025,0945,773
UPG,028,1328,UPG,PK-GII,MED,29062025,1800,30062025,0500,773
UPG,028,1428,MED,PK-GII,HYD,30062025,0700,30062025,1250,773
UPG,028,1428,HYD,PK-GII,UPG,30062025,1350,30062025,2100,773
UPG,029,1329,UPG,PK-GII,MED,30062025,1800,01072025,0500,773
UPG,029,1429,MED,PK-GII,HYD,01072025,0700,01072025,1250,773
UPG,029,1429,HYD,PK-GII,UPG,01072025,1350,01072025,2100,773
UPG,030,1330,UPG,PK-GII,MED,01072025,0340,01072025,1440,773
UPG,030,1430,MED,PK-GII,HYD,01072025,1640,01072025,2230,773
UPG,030,1430,HYD,PK-GII,UPG,01072025,2330,02072025,0640,773
UPG,031,1331,UPG,PK-GII,MED,02072025,0300,02072025,1400,773
UPG,031,1431,MED,PK-GII,HYD,02072025,1600,02072025,2150,773
UPG,031,1431,HYD,PK-GII,UPG,02072025,2250,03072025,0600,773
UPG,032,1332,UPG,PK-GII,MED,02072025,1430,03072025,0130,773
UPG,032,1432,MED,PK-GII,HYD,03072025,0330,03072025,0920,773
UPG,032,1432,HYD,PK-GII,UPG,03072025,1020,03072025,1730,773
UPG,033,1333,UPG,PK-GII,MED,03072025,1445,04072025,0145,773
UPG,033,1433,MED,PK-GII,HYD,04072025,0345,04072025,0935,773
UPG,033,1433,HYD,PK-GII,UPG,04072025,1035,04072025,1745,773
UPG,034,1334,UPG,PK-GII,MED,04072025,0140,04072025,1240,773
UPG,034,1434,MED,PK-GII,HYD,04072025,1440,04072025,2030,773
UPG,034,1434,HYD,PK-GII,UPG,04072025,2130,05072025,0440,773
UPG,035,1335,UPG,PK-GII,MED,04072025,2355,05072025,1055,773
UPG,035,1435,MED,PK-GII,HYD,05072025,1255,05072025,1845,773
UPG,035,1435,HYD,PK-GII,UPG,05072025,1945,06072025,0255,773
UPG,036,1336,UPG,PK-GII,MED,05072025,1600,06072025,0300,773
UPG,036,1436,MED,PK-GII,HYD,06072025,0500,06072025,1050,773
UPG,036,1436,HYD,PK-GII,UPG,06072025,1150,06072025,1900,773
UPG,037,1337,UPG,PK-GII,MED,06072025,1540,07072025,0240,773
UPG,037,1437,MED,PK-GII,HYD,07072025,0440,07072025,1030,773
UPG,037,1437,HYD,PK-GII,UPG,07072025,1130,07072025,1840,773
UPG,038,1338,UPG,PK-GII,MED,07072025,0140,07072025,1240,773
UPG,038,1438,MED,PK-GII,HYD,07072025,1440,07072025,2030,773
UPG,038,1438,HYD,PK-GII,UPG,07072025,2130,08072025,0440,773
UPG,039,1339,UPG,PK-GII,MED,08072025,0030,08072025,1130,773
