embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
LOP,001,5101,LOP,PK-GIK,MED,21042026,1850,22042026,0600,773
LOP,001,5201,MED,PK-GIK,LOP,22042026,0730,22042026,1845,773
LOP,002,5102,LOP,PK-GIK,MED,23042026,0905,23042026,2015,773
LOP,002,5202,MED,PK-GIK,UPG,23042026,2145,24042026,0905,773
LOP,003,5103,LOP,PK-GIK,MED,24042026,0605,24042026,1715,773
LOP,003,5203,MED,PK-GIK,LOP,24042026,1845,25042026,0600,773
LOP,004,5104,LOP,PK-GIK,MED,25042026,1505,26042026,0215,773
LOP,004,5204,MED,PK-GIK,LOP,26042026,0345,26042026,1500,773
LOP,005,5105,LOP,PK-GIK,MED,27042026,0150,27042026,1300,773
LOP,005,5205,MED,PK-GIK,LOP,27042026,1430,28042026,0145,773
LOP,006,5106,LOP,PK-GIK,MED,28042026,0950,28042026,2100,773
LOP,006,5206,MED,PK-GIK,LOP,28042026,2230,29042026,0945,773
LOP,007,5107,LOP,PK-GIK,MED,29042026,1720,30042026,0430,773
LOP,007,5207,MED,PK-GIK,LOP,30042026,0600,30042026,1715,773
LOP,008,5108,LOP,PK-GIK,MED,01052026,0505,01052026,1615,773
LOP,008,5208,MED,PK-GIK,LOP,01052026,1745,02052026,0500,773
LOP,009,5109,LOP,PK-GIK,MED,02052026,1605,03052026,0315,773
LOP,009,5209,MED,PK-GIK,LOP,03052026,0445,03052026,1600,773
LOP,010,5110,LOP,PK-GIK,MED,03052026,2050,04052026,0800,773
LOP,010,5210,MED,PK-GIK,LOP,04052026,0930,04052026,2045,773
LOP,011,5111,LOP,PK-GIK,MED,05052026,0400,05052026,1510,773
LOP,011,5211,MED,PK-GIK,LOP,05052026,1645,06052026,0400,773
LOP,012,5112,LOP,PK-GIK,JED,06052026,1620,07052026,0330,773
LOP,012,5212,JED,PK-GIK,LOP,07052026,0500,07052026,1625,773
LOP,013,5113,LOP,PK-GIK,JED,08052026,0050,08052026,1200,773
LOP,013,5213,JED,PK-GIK,LOP,08052026,1330,09052026,0055,773
LOP,014,5114,LOP,PK-GIK,JED,09052026,0845,09052026,1955,773
LOP,014,5214,JED,PK-GIK,LOP,09052026,2155,10052026,0920,773
LOP,015,5115,LOP,PK-GIK,JED,10052026,1550,11052026,0300,773
LOP,015,5215,JED,PK-GIK,CGK,11052026,0430,11052026,1510,773
