embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
LOP,001,5301,CGK,PK-GIK,MED,10062025,1445,11062025,0100,773
LOP,001,5401,MED,PK-GIK,HYD,11062025,0300,11062025,0845,773
LOP,001,5401,HYD,PK-GIK,LOP,11062025,0945,11062025,1630,773
LOP,002,5302,LOP,PK-GIK,MED,11062025,2145,12062025,0800,773
LOP,002,5402,MED,PK-GIK,HYD,12062025,1000,12062025,1545,773
LOP,002,5402,HYD,PK-GIK,LOP,12062025,1645,12062025,2330,773
LOP,003,5303,LOP,PK-GIK,JED,13062025,0415,13062025,1500,773
LOP,003,5403,JED,PK-GIK,LOP,13062025,1700,14062025,0445,773
LOP,004,5304,LOP,PK-GIK,MED,14062025,1025,14062025,2040,773
LOP,004,5404,MED,PK-GIK,HYD,14062025,2240,15062025,0425,773
LOP,004,5404,HYD,PK-GIK,LOP,15062025,0525,15062025,1210,773
LOP,005,5305,LOP,PK-GIK,MED,15062025,1755,16062025,0410,773
LOP,005,5405,MED,PK-GIK,HYD,16062025,0610,16062025,1155,773
LOP,005,5405,HYD,PK-GIK,LOP,16062025,1255,16062025,1940,773
LOP,006,5306,LOP,PK-GIK,MED,17062025,0755,17062025,1810,773
LOP,006,5406,MED,PK-GIK,HYD,17062025,1950,18062025,0135,773
LOP,006,5406,HYD,PK-GIK,LOP,18062025,0235,18062025,0920,773
LOP,007,5307,LOP,PK-GIK,MED,18062025,2210,19062025,0825,773
LOP,007,5407,MED,PK-GIK,HYD,19062025,1025,19062025,1610,773
LOP,007,5407,HYD,PK-GIK,LOP,19062025,1710,19062025,2355,773
LOP,008,5308,LOP,PK-GIK,JED,20062025,0730,20062025,1815,773
LOP,008,5408,JED,PK-GIK,LOP,20062025,2015,21062025,0800,773
LOP,009,5309,LOP,PK-GIK,JED,21062025,1515,22062025,0200,773
LOP,009,5409,JED,PK-GIK,LOP,22062025,0400,22062025,1545,773
LOP,010,5310,LOP,PK-GIK,JED,23062025,0050,23062025,1135,773
LOP,010,5410,JED,PK-GIK,LOP,23062025,1335,24062025,0120,773
LOP,011,5311,LOP,PK-GIK,JED,24062025,0755,24062025,1840,773
LOP,011,5411,JED,PK-GIK,LOP,24062025,2040,25062025,0825,773
LOP,012,5312,LOP,PK-GIK,MED,25062025,1625,26062025,0240,773
LOP,012,5412,MED,PK-GIK,HYD,26062025,0440,26062025,1025,773
LOP,012,5412,HYD,PK-GIK,LOP,26062025,1125,26062025,1810,773
