embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
MES,001,3101,KNO,EC-KCP,MED,02052025,1000,02052025,1830,333
MES,001,3201,MED,EC-KCP,KNO,02052025,2000,03052025,0515,333
MES,002,3102,KNO,EC-KCP,MED,03052025,1600,04052025,0030,333
MES,002,3202,MED,EC-KCP,KNO,04052025,0200,04052025,1115,333
MES,003,3103,KNO,EC-KCP,MED,04052025,1630,05052025,0100,333
MES,003,3203,MED,EC-KCP,KNO,05052025,0230,05052025,1145,333
MES,004,3104,KNO,EC-KCP,MED,05052025,1800,06052025,0230,333
MES,004,3204,MED,EC-KCP,KNO,06052025,0400,06052025,1315,333
MES,005,3105,KNO,EC-KCP,MED,06052025,1830,07052025,0300,333
MES,005,3205,MED,EC-KCP,KNO,07052025,0430,07052025,1345,333
MES,006,3106,KNO,EC-KCP,MED,08052025,0000,08052025,0830,333
MES,006,3206,MED,EC-KCP,KNO,08052025,1000,08052025,1915,333
MES,007,3107,KNO,EC-KCP,MED,09052025,0230,09052025,1100,333
MES,007,3207,MED,EC-KCP,KNO,09052025,1230,09052025,2145,333
MES,008,3108,KNO,EC-KCP,MED,10052025,0515,10052025,1345,333
MES,008,3208,MED,EC-KCP,KNO,10052025,1515,11052025,0030,333
MES,009,3109,KNO,EC-KCP,MED,11052025,0730,11052025,1600,333
MES,009,3209,MED,EC-KCP,KNO,11052025,1730,12052025,0245,333
MES,010,3110,KNO,EC-KCP,MED,12052025,0940,12052025,1810,333
MES,010,3210,MED,EC-KCP,KNO,12052025,1950,13052025,0505,333
MES,011,3111,KNO,EC-KCP,MED,13052025,1630,14052025,0100,333
MES,011,3211,MED,EC-KCP,KNO,14052025,0230,14052025,1145,333
MES,012,3112,KNO,EC-KCP,MED,15052025,1730,16052025,0200,333
MES,012,3212,MED,EC-KCP,KNO,16052025,0330,16052025,1245,333
MES,013,3113,KNO,EC-KCP,JED,16052025,2215,17052025,0700,333
MES,013,3213,JED,EC-KCP,KNO,17052025,0830,17052025,1805,333
MES,014,3114,KNO,EC-KCP,JED,18052025,0115,18052025,1000,333
MES,014,3214,JED,EC-KCP,KNO,18052025,1130,18052025,2105,333
MES,015,3115,KNO,EC-KCP,JED,19052025,1645,20052025,0130,333
MES,015,3215,JED,EC-KCP,KNO,20052025,0300,20052025,1235,333
MES,016,3116,KNO,EC-KCP,JED,20052025,1915,21052025,0400,333
MES,016,3216,JED,EC-KCP,KNO,21052025,0530,21052025,1505,333
MES,017,3117,KNO,EC-KCP,JED,21052025,2115,22052025,0600,333
MES,017,3217,JED,EC-KCP,KNO,22052025,0730,22052025,1705,333
MES,018,3118,KNO,EC-KCP,JED,23052025,0050,23052025,0935,333
MES,018,3218,JED,EC-KCP,KNO,23052025,1135,23052025,2110,333
MES,019,3119,KNO,EC-KCP,JED,24052025,0555,24052025,1440,333
MES,019,3219,JED,EC-KCP,KNO,24052025,1650,25052025,0225,333
MES,020,3120,KNO,EC-KCP,JED,25052025,1545,26052025,0030,333
MES,020,3220,JED,EC-KCP,KNO,26052025,0200,26052025,1135,333
MES,021,3121,KNO,EC-KCP,JED,26052025,1815,27052025,0300,333
MES,021,3221,JED,EC-KCP,KNO,27052025,0430,27052025,1405,333
MES,022,3122,KNO,EC-KCP,JED,27052025,2015,28052025,0500,333
MES,022,3222,JED,EC-KCP,KNO,28052025,0630,28052025,1605,333
MES,023,3123,KNO,EC-KCP,JED,29052025,0345,29052025,1230,333
MES,023,3223,JED,EC-KCP,KNO,29052025,1400,29052025,2335,333
MES,024,3124,KNO,EC-KCP,JED,30052025,1815,31052025,0300,333
MES,024,3224,JED,EC-KCP,MAD,31052025,0430,31052025,1120,333
