embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
SOC,001,6301,SOC,PK-GHI,JED,11062025,1955,12062025,0600,339
SOC,001,6401,JED,PK-GHI,KNO,12062025,0800,12062025,1735,339
SOC,001,6401,KNO,PK-GHI,SOC,12062025,1835,12062025,2130,339
SOC,002,6302,SOC,PK-GHI,JED,12062025,0040,12062025,1100,333
SOC,002,6402,JED,PK-GHI,KNO,12062025,1300,12062025,2220,333
SOC,002,6402,KNO,PK-GHI,SOC,12062025,2320,13062025,0215,333
SOC,003,6303,SOC,PK-GHI,JED,12062025,0515,12062025,1600,333
SOC,003,6403,JED,PK-GHI,KNO,12062025,1800,13062025,0300,333
SOC,003,6403,KNO,PK-GHI,SOC,13062025,0400,13062025,0655,333
SOC,004,6304,SOC,PK-GHI,JED,12062025,2315,13062025,1000,333
SOC,004,6404,JED,PK-GHI,KNO,13062025,1200,13062025,2100,333
SOC,004,6404,KNO,PK-GHI,SOC,13062025,2200,14062025,0055,333
SOC,005,6305,SOC,PK-GHI,JED,13062025,0715,13062025,1800,333
SOC,005,6405,JED,PK-GHI,KNO,13062025,2000,14062025,0500,333
SOC,005,6405,KNO,PK-GHI,SOC,14062025,0600,14062025,0855,333
SOC,006,6306,SOC,PK-GHI,JED,13062025,1255,13062025,2300,339
SOC,006,6406,JED,PK-GHI,KNO,14062025,0100,14062025,1035,339
SOC,006,6406,KNO,PK-GHI,SOC,14062025,1135,14062025,1430,339
SOC,007,6307,SOC,PK-GHI,JED,13062025,1740,14062025,0400,333
SOC,007,6407,JED,PK-GHI,KNO,14062025,0600,14062025,1520,333
SOC,007,6407,KNO,PK-GHI,SOC,14062025,1620,14062025,1915,333
SOC,008,6308,SOC,PK-GHI,JED,14062025,0015,14062025,1100,333
SOC,008,6408,JED,PK-GHI,KNO,14062025,1300,14062025,2200,333
SOC,008,6408,KNO,PK-GHI,SOC,14062025,2300,15062025,0155,333
SOC,009,6309,SOC,PK-GHI,JED,14062025,0715,14062025,1800,333
SOC,009,6409,JED,PK-GHI,KNO,14062025,2000,15062025,0500,333
SOC,009,6409,KNO,PK-GHI,SOC,15062025,0600,15062025,0855,333
SOC,010,6310,SOC,PK-GHI,JED,14062025,1505,15062025,0150,333
SOC,010,6410,JED,PK-GHI,KNO,15062025,0350,15062025,1250,333
SOC,010,6410,KNO,PK-GHI,SOC,15062025,1350,15062025,1645,333
SOC,011,6311,SOC,PK-GHI,JED,14062025,2005,15062025,0610,339
SOC,011,6411,JED,PK-GHI,KNO,15062025,0810,15062025,1745,339
SOC,011,6411,KNO,PK-GHI,SOC,15062025,1845,15062025,2140,339
SOC,012,6312,SOC,PK-GHI,JED,15062025,0115,15062025,1135,333
SOC,012,6412,JED,PK-GHI,KNO,15062025,1335,15062025,2255,333
SOC,012,6412,KNO,PK-GHI,SOC,15062025,2355,16062025,0250,333
SOC,013,6313,SOC,PK-GHI,JED,15062025,0915,15062025,2000,333
SOC,013,6413,JED,PK-GHI,KNO,15062025,2200,16062025,0700,333
SOC,013,6413,KNO,PK-GHI,SOC,16062025,0800,16062025,1055,333
SOC,014,6314,SOC,PK-GHI,JED,15062025,1730,16062025,0415,333
