embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
XXX,000,9999,0,PK-GHI,0,30121899,0000,30121899,0000,0
SOC,001,6301,SOC,PK-GHI,JED,01062026,1220,01062026,2300,33H
SOC,001,6401,JED,PK-GHI,KNO,02062026,0100,02062026,1015,33H
SOC,001,6401,KNO,PK-GHI,SOC,02062026,1115,02062026,1415,33H
SOC,002,6302,SOC,PK-GHI,JED,01062026,1835,02062026,0500,333
SOC,002,6402,JED,PK-GHI,KNO,02062026,0700,02062026,1610,333
SOC,002,6402,KNO,PK-GHI,SOC,02062026,1710,02062026,2005,333
SOC,003,6303,SOC,PK-GHI,JED,02062026,1515,03062026,0155,333
SOC,003,6403,JED,PK-GHI,KNO,03062026,0355,03062026,1310,333
SOC,003,6403,KNO,PK-GHI,SOC,03062026,1410,03062026,1710,333
SOC,004,940,SOC,PK-GHI,JED,03062026,0055,03062026,1135,333
SOC,004,941,JED,PK-GHI,KNO,03062026,1335,03062026,2250,333
SOC,004,941,KNO,PK-GHI,SOC,03062026,2350,04062026,0250,333
SOC,005,6305,SOC,PK-GHI,JED,03062026,1220,03062026,2300,33L
SOC,005,6405,JED,PK-GHI,KNO,04062026,0100,04062026,1015,33L
SOC,005,6405,KNO,PK-GHI,SOC,04062026,1115,04062026,1415,33L
SOC,006,6306,SOC,PK-GHI,JED,03062026,2020,04062026,0700,33H
SOC,006,6406,JED,PK-GHI,KNO,04062026,0900,04062026,1815,33H
SOC,006,6406,KNO,PK-GHI,SOC,04062026,1915,04062026,2215,33H
SOC,007,6307,SOC,PK-GHI,JED,04062026,1835,05062026,0500,333
SOC,007,6407,JED,PK-GHI,KNO,05062026,0700,05062026,1610,333
SOC,007,6407,KNO,PK-GHI,SOC,05062026,1710,05062026,2005,333
SOC,008,6308,SOC,PK-GHI,JED,04062026,2220,05062026,0900,333
SOC,008,6408,JED,PK-GHI,KNO,05062026,1100,05062026,2015,333
SOC,008,6408,KNO,PK-GHI,SOC,05062026,2115,06062026,0015,333
SOC,009,6309,SOC,PK-GHI,JED,05062026,1420,06062026,0100,333
SOC,009,6409,JED,PK-GHI,KNO,06062026,0300,06062026,1215,333
SOC,009,6409,KNO,PK-GHI,SOC,06062026,1315,06062026,1615,333
SOC,010,6310,SOC,PK-GHI,JED,05062026,1915,06062026,0555,33L
SOC,010,6410,JED,PK-GHI,KNO,06062026,0755,06062026,1710,33L
SOC,010,6410,KNO,PK-GHI,SOC,06062026,1810,06062026,2110,33L
SOC,011,940,SOC,PK-GHI,JED,06062026,0055,06062026,1135,33H
SOC,011,941,JED,PK-GHI,KNO,06062026,1335,06062026,2250,33H
SOC,011,941,KNO,PK-GHI,SOC,06062026,2350,07062026,0250,33H
SOC,012,6312,SOC,PK-GHI,JED,06062026,1630,07062026,0255,333
SOC,012,6412,JED,PK-GHI,KNO,07062026,0455,07062026,1405,333
SOC,012,6412,KNO,PK-GHI,SOC,07062026,1505,07062026,1800,333
SOC,013,944,SOC,PK-GHI,JED,07062026,0055,07062026,1135,333
SOC,013,945,JED,PK-GHI,KNO,07062026,1335,07062026,2250,333
SOC,013,945,KNO,PK-GHI,SOC,07062026,2350,08062026,0250,333
SOC,014,6314,SOC,PK-GHI,JED,07062026,1250,07062026,2330,333
SOC,014,6414,JED,PK-GHI,KNO,08062026,0130,08062026,1045,333
SOC,014,6414,KNO,PK-GHI,SOC,08062026,1145,08062026,1445,333
SOC,015,6315,SOC,PK-GHI,JED,07062026,1915,08062026,0555,33L
SOC,015,6415,JED,PK-GHI,KNO,08062026,0755,08062026,1710,33L
SOC,015,6415,KNO,PK-GHI,SOC,08062026,1810,08062026,2110,33L
SOC,016,946,SOC,PK-GHI,JED,08062026,0055,08062026,1135,33H
SOC,016,947,JED,PK-GHI,KNO,08062026,1340,08062026,2255,33H
SOC,016,947,KNO,PK-GHI,SOC,08062026,2355,09062026,0255,33H
SOC,017,948,SOC,PK-GHI,JED,08062026,0820,08062026,1845,333
SOC,017,949,JED,PK-GHI,KNO,08062026,2045,09062026,0555,333
SOC,017,949,KNO,PK-GHI,SOC,09062026,0655,09062026,0950,333
SOC,018,6318,SOC,PK-GHI,JED,08062026,1350,09062026,0030,333
SOC,018,6418,JED,PK-GHI,KNO,09062026,0230,09062026,1145,333
SOC,018,6418,KNO,PK-GHI,SOC,09062026,1245,09062026,1545,333
SOC,019,940,SOC,PK-GHI,JED,08062026,2255,09062026,0935,333
SOC,019,941,JED,PK-GHI,KNO,09062026,1135,09062026,2050,333
SOC,019,941,KNO,PK-GHI,SOC,09062026,2150,10062026,0050,333
SOC,020,944,SOC,PK-GHI,JED,09062026,0805,09062026,1845,33L
SOC,020,945,JED,PK-GHI,KNO,09062026,2045,10062026,0600,33L
SOC,020,945,KNO,PK-GHI,SOC,10062026,0700,10062026,1000,33L
SOC,021,6321,SOC,PK-GHI,JED,09062026,1350,10062026,0030,33H
SOC,021,6421,JED,PK-GHI,KNO,10062026,0230,10062026,1145,33H
SOC,021,6421,KNO,PK-GHI,SOC,10062026,1245,10062026,1545,33H
SOC,022,6322,SOC,PK-GHI,JED,09062026,1835,10062026,0500,333
SOC,022,6422,JED,PK-GHI,KNO,10062026,0700,10062026,1610,333
SOC,022,6422,KNO,PK-GHI,SOC,10062026,1710,10062026,2005,333
SOC,023,6323,SOC,PK-GHI,JED,09062026,2220,10062026,0900,333
SOC,023,6423,JED,PK-GHI,KNO,10062026,1100,10062026,2015,333
SOC,023,6423,KNO,PK-GHI,SOC,10062026,2115,11062026,0015,333
SOC,024,6324,SOC,PK-GHI,JED,10062026,1150,10062026,2230,333
SOC,024,6424,JED,PK-GHI,KNO,11062026,0030,11062026,0945,333
SOC,024,6424,KNO,PK-GHI,SOC,11062026,1045,11062026,1345,333
SOC,025,6325,SOC,PK-GHI,JED,10062026,1615,11062026,0255,33L
SOC,025,6425,JED,PK-GHI,KNO,11062026,0455,11062026,1410,33L
SOC,025,6425,KNO,PK-GHI,SOC,11062026,1510,11062026,1810,33L
SOC,026,6326,SOC,PK-GHI,JED,10062026,2320,11062026,1000,33H
