embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
UPG,001,1101,UPG,PK-GII,KNO,01052025,1945,01052025,2320,773
UPG,001,1101,KNO,PK-GII,MED,02052025,0020,02052025,0845,773
UPG,001,1201,MED,PK-GII,UPG,02052025,1015,02052025,2200,773
UPG,002,1102,UPG,PK-GII,KNO,02052025,0045,02052025,0420,773
UPG,002,1102,KNO,PK-GII,MED,02052025,0520,02052025,1345,773
UPG,002,1202,MED,PK-GII,UPG,02052025,1515,03052025,0300,773
UPG,003,1103,UPG,PK-GII,KNO,03052025,0230,03052025,0605,773
UPG,003,1103,KNO,PK-GII,MED,03052025,0705,03052025,1530,773
UPG,003,1203,MED,PK-GII,UPG,03052025,1700,04052025,0445,773
UPG,004,1104,UPG,PK-GII,KNO,03052025,0830,03052025,1205,773
UPG,004,1104,KNO,PK-GII,MED,03052025,1305,03052025,2130,773
UPG,004,1204,MED,PK-GII,UPG,03052025,2300,04052025,1045,773
UPG,005,1105,UPG,PK-GII,KNO,04052025,0900,04052025,1235,773
UPG,005,1105,KNO,PK-GII,MED,04052025,1335,04052025,2200,773
UPG,005,1205,MED,PK-GII,UPG,04052025,2330,05052025,1115,773
UPG,006,1106,UPG,PK-GII,KNO,04052025,1700,04052025,2035,773
UPG,006,1106,KNO,PK-GII,MED,04052025,2135,05052025,0600,773
UPG,006,1206,MED,PK-GII,UPG,05052025,0730,05052025,1915,773
UPG,007,1107,UPG,PK-GII,KNO,05052025,1700,05052025,2035,773
UPG,007,1107,KNO,PK-GII,MED,05052025,2135,06052025,0600,773
UPG,007,1207,MED,PK-GII,UPG,06052025,0730,06052025,1915,773
UPG,008,1108,UPG,PK-GII,KNO,06052025,0100,06052025,0435,773
UPG,008,1108,KNO,PK-GII,MED,06052025,0535,06052025,1400,773
UPG,008,1208,MED,PK-GII,UPG,06052025,1530,07052025,0315,773
UPG,009,1109,UPG,PK-GII,KNO,07052025,0510,07052025,0845,773
UPG,009,1109,KNO,PK-GII,MED,07052025,0945,07052025,1810,773
UPG,009,1209,MED,PK-GII,UPG,07052025,1950,08052025,0735,773
UPG,010,1110,UPG,PK-GII,KNO,07052025,0900,07052025,1235,773
UPG,010,1110,KNO,PK-GII,MED,07052025,1335,07052025,2200,773
UPG,010,1210,MED,PK-GII,UPG,07052025,2330,08052025,1115,773
UPG,011,1111,UPG,PK-GII,KNO,08052025,1300,08052025,1635,773
UPG,011,1111,KNO,PK-GII,MED,08052025,1735,09052025,0200,773
UPG,011,1211,MED,PK-GII,UPG,09052025,0330,09052025,1515,773
UPG,012,1112,UPG,PK-GII,KNO,08052025,2000,08052025,2335,773
UPG,012,1112,KNO,PK-GII,MED,09052025,0035,09052025,0900,773
UPG,012,1212,MED,PK-GII,UPG,09052025,1030,09052025,2215,773
UPG,013,1113,UPG,PK-GII,KNO,09052025,2345,10052025,0320,773
UPG,013,1113,KNO,PK-GII,MED,10052025,0420,10052025,1245,773
UPG,013,1213,MED,PK-GII,UPG,10052025,1415,11052025,0200,773
UPG,014,1114,UPG,PK-GII,KNO,10052025,0510,10052025,0845,773
UPG,014,1114,KNO,PK-GII,MED,10052025,0945,10052025,1810,773
UPG,014,1214,MED,PK-GII,UPG,10052025,1950,11052025,0735,773
UPG,015,1115,UPG,PK-GII,KNO,11052025,0900,11052025,1235,773
UPG,015,1115,KNO,PK-GII,MED,11052025,1335,11052025,2200,773
UPG,015,1215,MED,PK-GII,UPG,11052025,2330,12052025,1115,773
UPG,016,1116,UPG,PK-GII,KNO,11052025,1400,11052025,1735,773
UPG,016,1116,KNO,PK-GII,MED,11052025,1835,12052025,0300,773
UPG,016,1216,MED,PK-GII,UPG,12052025,0430,12052025,1615,773
UPG,017,1117,UPG,PK-GII,KNO,13052025,0030,13052025,0405,773
UPG,017,1117,KNO,PK-GII,MED,13052025,0505,13052025,1330,773
UPG,017,1217,MED,PK-GII,UPG,13052025,1500,14052025,0245,773
UPG,018,1118,UPG,PK-GII,KNO,13052025,0700,13052025,1035,773
UPG,018,1118,KNO,PK-GII,MED,13052025,1135,13052025,2000,773
UPG,018,1218,MED,PK-GII,UPG,13052025,2130,14052025,0915,773
UPG,019,1119,UPG,PK-GII,KNO,14052025,1130,14052025,1505,773
UPG,019,1119,KNO,PK-GII,MED,14052025,1605,15052025,0030,773
UPG,019,1219,MED,PK-GII,UPG,15052025,0200,15052025,1345,773
UPG,020,1120,UPG,PK-GII,KNO,14052025,1730,14052025,2105,773
UPG,020,1120,KNO,PK-GII,MED,14052025,2205,15052025,0630,773
UPG,020,1220,MED,PK-GII,UPG,15052025,0800,15052025,1945,773
UPG,021,1121,UPG,PK-GII,KNO,15052025,2130,16052025,0105,773
UPG,021,1121,KNO,PK-GII,MED,16052025,0205,16052025,1030,773
UPG,021,1221,MED,PK-GII,UPG,16052025,1200,16052025,2345,773
UPG,022,1122,UPG,PK-GII,KNO,16052025,1900,16052025,2235,773
UPG,022,1122,KNO,PK-GII,JED,16052025,2335,17052025,0800,773
UPG,022,1222,JED,PK-GII,UPG,17052025,0930,17052025,2115,773
UPG,023,1123,UPG,PK-GII,KNO,17052025,1130,17052025,1505,773
UPG,023,1123,KNO,PK-GII,JED,17052025,1605,18052025,0030,773
UPG,023,1223,JED,PK-GII,UPG,18052025,0200,18052025,1345,773
UPG,024,1124,UPG,PK-GII,KNO,18052025,0200,18052025,0535,773
UPG,024,1124,KNO,PK-GII,JED,18052025,0635,18052025,1500,773
UPG,024,1224,JED,PK-GII,UPG,18052025,1630,19052025,0415,773
UPG,025,1125,UPG,PK-GII,KNO,18052025,2030,19052025,0005,773
UPG,025,1125,KNO,PK-GII,JED,19052025,0105,19052025,0930,773
UPG,025,1225,JED,PK-GII,UPG,19052025,1100,19052025,2245,773
UPG,026,1126,UPG,PK-GII,KNO,19052025,0920,19052025,1255,773
UPG,026,1126,KNO,PK-GII,JED,19052025,1355,19052025,2300,773
UPG,026,1226,JED,PK-GII,UPG,20052025,0030,20052025,1215,773
UPG,027,1127,UPG,PK-GII,KNO,20052025,0745,20052025,1120,773
UPG,027,1127,KNO,PK-GII,JED,20052025,1220,20052025,2045,773
UPG,027,1227,JED,PK-GII,UPG,20052025,2255,21052025,1040,773
UPG,028,1128,UPG,PK-GII,KNO,20052025,2000,20052025,2335,773
UPG,028,1128,KNO,PK-GII,JED,21052025,0035,21052025,0900,773
UPG,028,1228,JED,PK-GII,UPG,21052025,1110,21052025,2255,773
UPG,029,1129,UPG,PK-GII,KNO,21052025,1800,21052025,2135,773
UPG,029,1129,KNO,PK-GII,JED,21052025,2235,22052025,0700,773
UPG,029,1229,JED,PK-GII,UPG,22052025,0830,22052025,2015,773
UPG,030,1130,UPG,PK-GII,KNO,22052025,0945,22052025,1320,773
UPG,030,1130,KNO,PK-GII,JED,22052025,1420,22052025,2245,773
UPG,030,1230,JED,PK-GII,UPG,23052025,0015,23052025,1200,773
UPG,031,1131,UPG,PK-GII,KNO,23052025,0700,23052025,1035,773
UPG,031,1131,KNO,PK-GII,JED,23052025,1135,23052025,2000,773
UPG,031,1231,JED,PK-GII,UPG,23052025,2130,24052025,0915,773
UPG,032,1132,UPG,PK-GII,KNO,23052025,1900,23052025,2235,773
UPG,032,1132,KNO,PK-GII,JED,23052025,2335,24052025,0800,773
UPG,032,1232,JED,PK-GII,UPG,24052025,0930,24052025,2115,773
UPG,033,1133,UPG,PK-GII,KNO,24052025,1800,24052025,2135,773
UPG,033,1133,KNO,PK-GII,JED,24052025,2235,25052025,0700,773
UPG,033,1233,JED,PK-GII,UPG,25052025,0830,25052025,2015,773
UPG,034,1134,UPG,PK-GII,KNO,25052025,0700,25052025,1035,773
UPG,034,1134,KNO,PK-GII,JED,25052025,1135,25052025,2000,773
UPG,034,1234,JED,PK-GII,UPG,25052025,2130,26052025,0915,773
UPG,035,1135,UPG,PK-GII,KNO,26052025,0700,26052025,1035,773
UPG,035,1135,KNO,PK-GII,JED,26052025,1135,26052025,2000,773
UPG,035,1235,JED,PK-GII,UPG,26052025,2130,27052025,0915,773
UPG,036,1136,UPG,PK-GII,KNO,26052025,2300,27052025,0235,773
UPG,036,1136,KNO,PK-GII,JED,27052025,0335,27052025,1200,773
UPG,036,1236,JED,PK-GII,UPG,27052025,1330,28052025,0115,773
UPG,037,1137,UPG,PK-GII,KNO,28052025,1130,28052025,1505,773
UPG,037,1137,KNO,PK-GII,JED,28052025,1605,29052025,0030,773
UPG,037,1237,JED,PK-GII,UPG,29052025,0200,29052025,1345,773
UPG,038,1138,UPG,PK-GII,KNO,28052025,1830,28052025,2205,773
UPG,038,1138,KNO,PK-GII,JED,28052025,2305,29052025,0730,773
UPG,038,1238,JED,PK-GII,UPG,29052025,0900,29052025,2045,773
UPG,039,1139,UPG,PK-GII,KNO,30052025,0000,30052025,0335,773
UPG,039,1139,KNO,PK-GII,JED,30052025,0435,30052025,1300,773
UPG,039,1239,JED,PK-GII,CGK,30052025,1430,31052025,0215,773
UPG,040,1140,UPG,PK-GII,KNO,30052025,1300,30052025,1635,773
UPG,040,1140,KNO,PK-GII,JED,30052025,1735,31052025,0200,773
UPG,040,1240,JED,PK-GII,CGK,31052025,0330,31052025,1515,773
UPG,041,1141,UPG,PK-GII,KNO,31052025,0000,31052025,0335,773
UPG,041,1141,KNO,PK-GII,JED,31052025,0435,31052025,1300,773
UPG,041,1241,JED,PK-GII,CGK,31052025,1430,01062025,0215,773
