embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
UPG,001,1101,UPG,PK-GII,KNO,21042026,1920,21042026,2300,773
UPG,001,1101,KNO,PK-GII,MED,22042026,0020,22042026,0900,773
UPG,001,1201,MED,PK-GII,UPG,22042026,1030,22042026,2150,773
UPG,002,1102,UPG,PK-GII,KNO,21042026,1935,21042026,2315,773
UPG,002,1102,KNO,PK-GII,MED,22042026,0035,22042026,0915,773
UPG,002,1202,MED,PK-GII,UPG,22042026,1045,22042026,2205,773
UPG,003,1103,UPG,PK-GII,KNO,23042026,0320,23042026,0700,773
UPG,003,1103,KNO,PK-GII,MED,23042026,0820,23042026,1700,773
UPG,003,1203,MED,PK-GII,UPG,23042026,1830,24042026,0550,773
UPG,004,1104,UPG,PK-GII,KNO,23042026,0920,23042026,1300,773
UPG,004,1104,KNO,PK-GII,MED,23042026,1420,23042026,2300,773
UPG,004,1204,MED,PK-GII,UPG,24042026,0030,24042026,1150,773
UPG,005,1105,UPG,PK-GII,KNO,24042026,1320,24042026,1700,773
UPG,005,1105,KNO,PK-GII,MED,24042026,1820,25042026,0300,773
UPG,005,1205,MED,PK-GII,UPG,25042026,0430,25042026,1550,773
UPG,006,1106,UPG,PK-GII,KNO,25042026,0040,25042026,0420,773
UPG,006,1106,KNO,PK-GII,MED,25042026,0540,25042026,1420,773
UPG,006,1206,MED,PK-GII,UPG,25042026,1550,26042026,0310,773
UPG,007,1107,UPG,PK-GII,KNO,26042026,0020,26042026,0400,773
UPG,007,1107,KNO,PK-GII,MED,26042026,0520,26042026,1400,773
UPG,007,1207,MED,PK-GII,UPG,26042026,1530,27042026,0250,773
UPG,008,1108,UPG,PK-GII,KNO,26042026,0235,26042026,0615,773
UPG,008,1108,KNO,PK-GII,MED,26042026,0735,26042026,1615,773
UPG,008,1208,MED,PK-GII,UPG,26042026,1745,27042026,0505,773
UPG,009,1109,UPG,PK-GII,KNO,27042026,1120,27042026,1500,773
UPG,009,1109,KNO,PK-GII,MED,27042026,1620,28042026,0100,773
UPG,009,1209,MED,PK-GII,UPG,28042026,0230,28042026,1350,773
UPG,010,1110,UPG,PK-GII,KNO,27042026,2020,27042026,0000,773
UPG,010,1110,KNO,PK-GII,MED,28042026,0120,28042026,1000,773
UPG,010,1210,MED,PK-GII,UPG,28042026,1130,28042026,2250,773
UPG,011,1111,UPG,PK-GII,KNO,28042026,2150,29042026,0130,773
UPG,011,1111,KNO,PK-GII,MED,29042026,0250,29042026,1130,773
UPG,011,1211,MED,PK-GII,UPG,29042026,1300,30042026,0020,773
UPG,012,1112,UPG,PK-GII,KNO,29042026,1205,29042026,1545,773
UPG,012,1112,KNO,PK-GII,MED,29042026,1705,30042026,0145,773
UPG,012,1212,MED,PK-GII,UPG,30042026,0315,30042026,1435,773
