embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
YIA,001,6701,MAD,CS-WFP,JED,31052026,2300,01062026,0500,333
YIA,001,6801,JED,CS-WFP,KNO,01062026,0700,01062026,1615,333
YIA,001,6801,KNO,CS-WFP,YIA,01062026,1715,01062026,2015,333
YIA,002,6702,YIA,CS-WFP,JED,02062026,0540,02062026,1600,333
YIA,002,6802,JED,CS-WFP,KNO,02062026,1800,03062026,0315,333
YIA,002,6802,KNO,CS-WFP,YIA,03062026,0415,03062026,0715,333
YIA,003,6703,YIA,CS-WFP,JED,03062026,1440,04062026,0100,333
YIA,003,6803,JED,CS-WFP,KNO,04062026,0300,04062026,1215,333
YIA,003,6803,KNO,CS-WFP,YIA,04062026,1315,04062026,1615,333
YIA,004,6704,YIA,CS-WFP,JED,05062026,0040,05062026,1100,333
YIA,004,6804,JED,CS-WFP,KNO,05062026,1300,05062026,2215,333
YIA,004,6804,KNO,CS-WFP,YIA,05062026,2315,06062026,0215,333
YIA,005,6705,YIA,CS-WFP,JED,06062026,1210,06062026,2230,333
YIA,005,6805,JED,CS-WFP,KNO,07062026,0030,07062026,0945,333
YIA,005,6805,KNO,CS-WFP,YIA,07062026,1045,07062026,1345,333
YIA,006,6706,YIA,CS-WFP,JED,07062026,2040,08062026,0700,333
YIA,006,6806,JED,CS-WFP,KNO,08062026,0900,08062026,1815,333
YIA,006,6806,KNO,CS-WFP,YIA,08062026,1915,08062026,2215,333
YIA,007,6707,YIA,CS-WFP,JED,09062026,0540,09062026,1600,333
YIA,007,6807,JED,CS-WFP,KNO,09062026,1800,10062026,0315,333
YIA,007,6807,KNO,CS-WFP,YIA,10062026,0415,10062026,0715,333
YIA,008,6708,YIA,CS-WFP,JED,10062026,1540,11062026,0200,333
YIA,008,6808,JED,CS-WFP,KNO,11062026,0400,11062026,1315,333
YIA,008,6808,KNO,CS-WFP,YIA,11062026,1415,11062026,1715,333
YIA,009,6709,YIA,CS-WFP,JED,12062026,0215,12062026,1235,333
YIA,009,6809,JED,CS-WFP,KNO,12062026,1435,12062026,2350,333
YIA,009,6809,KNO,CS-WFP,YIA,13062026,0050,13062026,0350,333
YIA,010,6710,YIA,CS-WFP,JED,13062026,1040,13062026,2100,333
YIA,010,6810,JED,CS-WFP,KNO,13062026,2300,14062026,0815,333
YIA,010,6810,KNO,CS-WFP,YIA,14062026,0915,14062026,1215,333
YIA,011,6711,YIA,CS-WFP,JED,14062026,2040,15062026,0700,333
YIA,011,6811,JED,CS-WFP,KNO,15062026,0900,15062026,1815,333
YIA,011,6811,KNO,CS-WFP,YIA,15062026,1915,15062026,2215,333
YIA,012,6712,YIA,CS-WFP,MED,16062026,0625,16062026,1700,333
YIA,012,6812,MED,CS-WFP,AAN,16062026,1900,16062026,2140,333
YIA,012,6812,AAN,CS-WFP,YIA,16062026,2240,17062026,0745,333
YIA,013,6713,YIA,CS-WFP,MED,17062026,1645,18062026,0320,333
YIA,013,6813,MED,CS-WFP,AAN,18062026,0520,18062026,0800,333
YIA,013,6813,AAN,CS-WFP,YIA,18062026,0900,18062026,1805,333
YIA,014,6714,YIA,CS-WFP,MED,19062026,0425,19062026,1500,333
YIA,014,6814,MED,CS-WFP,AAN,19062026,1700,19062026,1940,333
YIA,014,6814,AAN,CS-WFP,YIA,19062026,2040,20062026,0545,333
YIA,015,6715,YIA,CS-WFP,MED,20062026,1645,21062026,0320,333
YIA,015,6815,MED,CS-WFP,AAN,21062026,0520,21062026,0800,333
YIA,015,6815,AAN,CS-WFP,YIA,21062026,0900,21062026,1805,333
YIA,016,6716,KNO,CS-WFP,MED,21062026,2105,22062026,0520,333
YIA,016,6816,MED,CS-WFP,AAN,22062026,0720,22062026,1000,333
YIA,016,6816,AAN,CS-WFP,YIA,22062026,1100,22062026,2005,333
YIA,017,6717,YIA,CS-WFP,MED,22062026,0340,22062026,1415,333
YIA,017,6817,MED,CS-WFP,AAN,22062026,1615,22062026,1855,333
YIA,017,6817,AAN,CS-WFP,YIA,22062026,1955,23062026,0500,333
YIA,018,6718,YIA,CS-WFP,MED,23062026,0545,23062026,1620,333
YIA,018,6818,MED,CS-WFP,AAN,23062026,1820,23062026,2100,333
YIA,018,6818,AAN,CS-WFP,YIA,23062026,2200,24062026,0705,333
YIA,019,6719,YIA,CS-WFP,MED,23062026,2145,24062026,0820,333
YIA,019,6819,MED,CS-WFP,AAN,24062026,1020,24062026,1300,333
YIA,019,6819,AAN,CS-WFP,YIA,24062026,1400,24062026,2305,333
YIA,020,6720,YIA,CS-WFP,MED,24062026,1855,25062026,0530,333
YIA,020,6820,MED,CS-WFP,AAN,25062026,0730,25062026,1010,333
YIA,020,6820,AAN,CS-WFP,YIA,25062026,1110,25062026,2015,333
YIA,021,6721,YIA,CS-WFP,MED,25062026,0745,25062026,1820,333
YIA,021,6821,MED,CS-WFP,AAN,25062026,2020,25062026,2300,333
YIA,021,6821,AAN,CS-WFP,YIA,26062026,0000,26062026,0905,333
YIA,022,6722,YIA,CS-WFP,MED,26062026,0525,26062026,1600,333
YIA,022,6822,MED,CS-WFP,AAN,26062026,1800,26062026,2040,333
YIA,022,6822,AAN,CS-WFP,YIA,26062026,2140,27062026,0645,333
YIA,023,6723,YIA,CS-WFP,MED,26062026,2025,27062026,0700,333
YIA,023,6823,MED,CS-WFP,AAN,27062026,0900,27062026,1140,333
YIA,023,6823,AAN,CS-WFP,YIA,27062026,1240,27062026,2145,333
YIA,024,6724,YIA,CS-WFP,MED,27062026,1625,28062026,0300,333
YIA,024,6824,MED,CS-WFP,AAN,28062026,0500,28062026,0740,333
YIA,024,6824,AAN,CS-WFP,YIA,28062026,0840,28062026,1745,333
YIA,025,6725,YIA,CS-WFP,MED,28062026,0625,28062026,1700,333
YIA,025,6825,MED,CS-WFP,AAN,28062026,1900,28062026,2140,333
YIA,025,6825,AAN,CS-WFP,YIA,28062026,2240,29062026,0745,333
YIA,026,6726,YIA,CS-WFP,MED,29062026,0225,29062026,1300,333
YIA,026,6826,MED,CS-WFP,AAN,29062026,1500,29062026,1740,333
YIA,026,6826,AAN,CS-WFP,YIA,29062026,1840,30062026,0345,333
XXX,026,9999,0,CS-WFP,0,30121899,0000,30121899,0000,0
