embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
LOP,1,5101,LOP,PK-GIK,MED,01052025,1855,02052025,0525,773
LOP,1,5201,MED,PK-GIK,LOP,02052025,0655,02052025,1835,773
LOP,2,5102,LOP,PK-GIK,MED,03052025,0000,03052025,1030,773
LOP,2,5202,MED,PK-GIK,LOP,03052025,1200,03052025,2340,773
LOP,3,5103,LOP,PK-GIK,MED,04052025,0430,04052025,1500,773
LOP,3,5203,MED,PK-GIK,LOP,04052025,1630,05052025,0410,773
LOP,4,5104,LOP,PK-GIK,MED,05052025,1000,05052025,2030,773
LOP,4,5204,MED,PK-GIK,LOP,05052025,2200,06052025,0940,773
LOP,5,5105,LOP,PK-GIK,MED,06052025,1930,07052025,0600,773
LOP,5,5205,MED,PK-GIK,LOP,07052025,0730,07052025,1910,773
LOP,6,5106,LOP,PK-GIK,MED,08052025,0005,08052025,1035,773
LOP,6,5206,MED,PK-GIK,LOP,08052025,1205,08052025,2345,773
LOP,7,5107,LOP,PK-GIK,MED,09052025,0700,09052025,1730,773
LOP,7,5207,MED,PK-GIK,LOP,09052025,1900,10052025,0640,773
LOP,8,5108,LOP,PK-GIK,MED,10052025,1530,11052025,0200,773
LOP,8,5208,MED,PK-GIK,LOP,11052025,0330,11052025,1510,773
LOP,9,5109,LOP,PK-GIK,MED,11052025,2230,12052025,0900,773
LOP,9,5209,MED,PK-GIK,LOP,12052025,1030,12052025,2210,773
LOP,10,5110,LOP,PK-GIK,MED,13052025,0740,13052025,1810,773
LOP,10,5210,MED,PK-GIK,LOP,13052025,1950,14052025,0730,773
LOP,11,5111,LOP,PK-GIK,MED,14052025,2300,15052025,0930,773
LOP,11,5211,MED,PK-GIK,LOP,15052025,1100,15052025,2240,773
LOP,12,5112,LOP,PK-GIK,JED,16052025,1715,17052025,0400,773
LOP,12,5212,JED,PK-GIK,BTJ,17052025,0530,17052025,1420,773
