embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
LOP,001,5301,CGK,PK-GIK,JED,31052026,1315,31052026,0000,773
LOP,001,5401,JED,PK-GIK,LOP,01062026,0200,01062026,1315,773
LOP,002,5302,LOP,PK-GIK,JED,01062026,2000,02062026,0700,773
LOP,002,5402,JED,PK-GIK,LOP,02062026,0900,02062026,2015,773
LOP,003,5303,LOP,PK-GIK,JED,03062026,0400,03062026,1500,773
LOP,003,5403,JED,PK-GIK,LOP,03062026,1700,04062026,0415,773
LOP,004,5304,LOP,PK-GIK,JED,04062026,1600,05062026,0300,773
LOP,004,5404,JED,PK-GIK,LOP,05062026,0500,05062026,1615,773
LOP,005,5305,LOP,PK-GIK,JED,06062026,0235,06062026,1335,773
LOP,005,5405,JED,PK-GIK,LOP,06062026,1535,07062026,0250,773
LOP,006,5306,LOP,PK-GIK,JED,07062026,1130,07062026,2230,773
LOP,006,5406,JED,PK-GIK,LOP,08062026,0030,08062026,1145,773
LOP,007,5307,LOP,PK-GIK,JED,08062026,1855,09062026,0555,773
LOP,007,5407,JED,PK-GIK,LOP,09062026,0755,09062026,1910,773
LOP,008,5308,LOP,PK-GIK,JED,10062026,0155,10062026,1255,773
LOP,008,5408,JED,PK-GIK,LOP,10062026,1455,11062026,0210,773
LOP,009,5309,LOP,PK-GIK,JED,11062026,1000,11062026,2100,773
LOP,009,5409,JED,PK-GIK,LOP,11062026,2300,12062026,1015,773
LOP,010,5310,LOP,PK-GIK,JED,12062026,1800,13062026,0500,773
LOP,010,5410,JED,PK-GIK,LOP,13062026,0700,13062026,1815,773
LOP,011,5311,LOP,PK-GIK,JED,14062026,0155,14062026,1255,773
LOP,011,5411,JED,PK-GIK,LOP,14062026,1455,15062026,0210,773
LOP,012,5312,LOP,PK-GIK,MED,15062026,1205,15062026,2330,773
LOP,012,5412,MED,PK-GIK,HYD,16062026,0130,16062026,0705,773
LOP,012,5412,HYD,PK-GIK,LOP,16062026,0825,16062026,1520,773
LOP,013,5313,LOP,PK-GIK,MED,16062026,2135,17062026,0900,773
LOP,013,5413,MED,PK-GIK,HYD,17062026,1100,17062026,1635,773
LOP,013,5413,HYD,PK-GIK,LOP,17062026,1755,18062026,0050,773
LOP,014,5314,LOP,PK-GIK,MED,18062026,0935,18062026,2100,773
LOP,014,5414,MED,PK-GIK,HYD,18062026,2300,19062026,0435,773
LOP,014,5414,HYD,PK-GIK,LOP,19062026,0555,19062026,1250,773
LOP,015,5315,LOP,PK-GIK,MED,19062026,2050,20062026,0815,773
LOP,015,5415,MED,PK-GIK,HYD,20062026,1015,20062026,1550,773
LOP,015,5415,HYD,PK-GIK,LOP,20062026,1710,21062026,0005,773
XXX,015,9999,0,PK-GIK,0,30121899,0000,30121899,0000,0
