embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
PDG,001,3701,CGK,PK-GIC,JED,02062026,1405,02062026,0000,773
PDG,001,3801,JED,PK-GIC,PDG,03062026,0200,03062026,1115,773
PDG,002,3702,PDG,PK-GIC,JED,03062026,2015,04062026,0455,773
PDG,002,3802,JED,PK-GIC,PDG,04062026,0655,04062026,1610,773
PDG,003,3703,PDG,PK-GIC,JED,05062026,0820,05062026,1700,773
PDG,003,3803,JED,PK-GIC,PDG,05062026,1900,06062026,0415,773
PDG,004,3704,PDG,PK-GIC,JED,06062026,1610,07062026,0100,773
PDG,004,3804,JED,PK-GIC,PDG,07062026,0300,07062026,1215,773
PDG,005,3705,PDG,PK-GIC,JED,07062026,2010,08062026,0500,773
PDG,005,3805,JED,PK-GIC,PDG,08062026,0700,08062026,1615,773
PDG,006,3706,PDG,PK-GIC,JED,08062026,2310,09062026,0800,773
PDG,006,3806,JED,PK-GIC,PDG,09062026,1000,09062026,1915,773
PDG,007,978,PDG,PK-GIC,JED,10062026,0245,10062026,1135,773
PDG,007,979,JED,PK-GIC,PDG,10062026,1335,10062026,2250,773
PDG,008,924,PDG,PK-GIC,JED,11062026,0550,11062026,1440,773
PDG,008,925,JED,PK-GIC,PDG,11062026,1640,12062026,0155,773
PDG,009,3709,PDG,PK-GIC,JED,12062026,0705,12062026,1555,773
PDG,009,3809,JED,PK-GIC,PDG,12062026,1755,13062026,0310,773
PDG,010,926,PDG,PK-GIC,JED,13062026,0955,13062026,1845,773
PDG,010,927,JED,PK-GIC,PDG,13062026,2045,14062026,0600,773
PDG,011,3711,PDG,PK-GIC,JED,14062026,1055,14062026,1945,773
PDG,011,3811,JED,PK-GIC,PDG,14062026,2145,15062026,0700,773
PDG,012,3712,PDG,PK-GIC,MED,15062026,2000,16062026,0545,773
PDG,012,3812,MED,PK-GIC,HYD,16062026,0745,16062026,1320,773
PDG,012,3812,HYD,PK-GIC,PDG,16062026,1420,16062026,1855,773
PDG,013,3713,PDG,PK-GIC,MED,17062026,0415,17062026,1400,773
PDG,013,3813,MED,PK-GIC,HYD,17062026,1600,17062026,2135,773
PDG,013,3813,HYD,PK-GIC,PDG,17062026,2235,18062026,0310,773
PDG,014,3714,PDG,PK-GIC,MED,18062026,2235,19062026,0820,773
PDG,014,3814,MED,PK-GIC,HYD,19062026,1020,19062026,1555,773
PDG,014,3814,HYD,PK-GIC,PDG,19062026,1715,19062026,2150,773
XXX,014,9999,0,PK-GIC,0,30121899,0000,30121899,0000,0
