embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
XXX,000,9999,0,PK-GII,0,30121899,0000,30121899,0000,0
UPG,001,1301,CGK,PK-GII,JED,31052026,1245,31052026,2230,773
UPG,001,1401,JED,PK-GII,KNO,01062026,0030,01062026,0925,773
UPG,001,1401,KNO,PK-GII,UPG,01062026,1045,01062026,1430,773
UPG,002,1302,CGK,PK-GII,JED,31052026,2115,01062026,0700,773
UPG,002,1402,JED,PK-GII,KNO,01062026,0900,01062026,1755,773
UPG,002,1402,KNO,PK-GII,UPG,01062026,1915,01062026,2300,773
UPG,003,1303,UPG,PK-GII,JED,01062026,2305,02062026,0900,773
UPG,003,1403,JED,PK-GII,KNO,02062026,1100,02062026,1955,773
UPG,003,1403,KNO,PK-GII,UPG,02062026,2115,03062026,0100,773
UPG,004,1304,UPG,PK-GII,JED,02062026,1140,02062026,2230,773
UPG,004,1404,JED,PK-GII,KNO,03062026,0030,03062026,0925,773
UPG,004,1404,KNO,PK-GII,UPG,03062026,1045,03062026,1430,773
UPG,005,1305,UPG,PK-GII,JED,03062026,1605,04062026,0255,773
UPG,005,1405,JED,PK-GII,KNO,04062026,0455,04062026,1350,773
UPG,005,1405,KNO,PK-GII,UPG,04062026,1510,04062026,1855,773
UPG,006,1306,UPG,PK-GII,JED,04062026,0205,04062026,1255,773
UPG,006,1406,JED,PK-GII,KNO,04062026,1455,04062026,2350,773
UPG,006,1406,KNO,PK-GII,UPG,05062026,0110,05062026,0455,773
UPG,007,1307,UPG,PK-GII,JED,05062026,1205,05062026,2255,773
UPG,007,1407,JED,PK-GII,KNO,06062026,0055,06062026,0950,773
UPG,007,1407,KNO,PK-GII,UPG,06062026,1110,06062026,1455,773
UPG,008,1308,UPG,PK-GII,JED,05062026,1710,06062026,0400,773
UPG,008,1408,JED,PK-GII,KNO,06062026,0600,06062026,1455,773
UPG,008,1408,KNO,PK-GII,UPG,06062026,1615,06062026,2000,773
UPG,009,1309,UPG,PK-GII,JED,06062026,2310,07062026,1000,773
UPG,009,1409,JED,PK-GII,KNO,07062026,1200,07062026,2055,773
UPG,009,1409,KNO,PK-GII,UPG,07062026,2215,08062026,0200,773
UPG,010,1310,UPG,PK-GII,JED,07062026,0505,07062026,1555,773
UPG,010,1410,JED,PK-GII,KNO,07062026,1755,08062026,0250,773
UPG,010,1410,KNO,PK-GII,UPG,08062026,0410,08062026,0755,773
UPG,011,1311,UPG,PK-GII,JED,08062026,1240,08062026,2330,773
UPG,011,1411,JED,PK-GII,KNO,09062026,0130,09062026,1025,773
UPG,011,1411,KNO,PK-GII,UPG,09062026,1145,09062026,1530,773
UPG,012,1312,UPG,PK-GII,JED,08062026,1705,09062026,0355,773
UPG,012,1412,JED,PK-GII,KNO,09062026,0555,09062026,1450,773
UPG,012,1412,KNO,PK-GII,UPG,09062026,1610,09062026,1955,773
UPG,013,1313,UPG,PK-GII,JED,09062026,2310,10062026,1000,773
UPG,013,1413,JED,PK-GII,KNO,10062026,1200,10062026,2055,773
UPG,013,1413,KNO,PK-GII,UPG,10062026,2215,11062026,0200,773
UPG,014,972,UPG,PK-GII,JED,10062026,0350,10062026,1440,773
UPG,014,973,JED,PK-GII,KNO,10062026,1640,11062026,0135,773
UPG,014,973,KNO,PK-GII,UPG,11062026,0255,11062026,0640,773
UPG,015,1315,UPG,PK-GII,JED,11062026,1140,11062026,2230,773
UPG,015,1415,JED,PK-GII,KNO,12062026,0030,12062026,0925,773
UPG,015,1415,KNO,PK-GII,UPG,12062026,1045,12062026,1430,773
UPG,016,1316,UPG,PK-GII,JED,11062026,1610,12062026,0300,773
UPG,016,1416,JED,PK-GII,KNO,12062026,0500,12062026,1355,773
UPG,016,1416,KNO,PK-GII,UPG,12062026,1515,12062026,1900,773
UPG,017,1317,UPG,PK-GII,JED,12062026,2110,13062026,0800,773
UPG,017,1417,JED,PK-GII,KNO,13062026,1000,13062026,1855,773
UPG,017,1417,KNO,PK-GII,UPG,13062026,2015,13062026,0000,773
UPG,018,1318,UPG,PK-GII,JED,13062026,0205,13062026,1255,773
UPG,018,1418,JED,PK-GII,KNO,13062026,1455,13062026,2350,773
UPG,018,1418,KNO,PK-GII,UPG,14062026,0110,14062026,0455,773
UPG,019,1319,UPG,PK-GII,JED,14062026,0600,14062026,1650,773
UPG,019,1419,JED,PK-GII,KNO,14062026,1850,15062026,0345,773
UPG,019,1419,KNO,PK-GII,UPG,15062026,0505,15062026,0850,773
UPG,020,1320,UPG,PK-GII,JED,14062026,1010,14062026,2100,773
UPG,020,1420,JED,PK-GII,KNO,14062026,2300,15062026,0755,773
UPG,020,1420,KNO,PK-GII,UPG,15062026,0915,15062026,1300,773
UPG,021,1321,CGK,PK-GII,JED,15062026,0015,15062026,1000,773
UPG,021,1421,JED,PK-GII,KNO,15062026,1200,15062026,2055,773
UPG,021,1421,KNO,PK-GII,UPG,15062026,2215,16062026,0200,773
UPG,022,1322,UPG,PK-GII,MED,15062026,2045,16062026,0745,773
UPG,022,1422,MED,PK-GII,HYD,16062026,0945,16062026,1535,773
UPG,022,1422,HYD,PK-GII,UPG,16062026,1655,17062026,0005,773
UPG,023,1323,CGK,PK-GII,MED,17062026,0300,17062026,1200,773
UPG,023,1423,MED,PK-GII,HYD,17062026,1400,17062026,1950,773
UPG,023,1423,HYD,PK-GII,UPG,17062026,2110,18062026,0420,773
UPG,024,1324,UPG,PK-GII,MED,17062026,0900,17062026,2000,773
UPG,024,1424,MED,PK-GII,HYD,17062026,2200,18062026,0350,773
UPG,024,1424,HYD,PK-GII,UPG,18062026,0510,18062026,1220,773
UPG,025,1325,UPG,PK-GII,MED,18062026,1515,19062026,0215,773
UPG,025,1425,MED,PK-GII,HYD,19062026,0415,19062026,1005,773
UPG,025,1425,HYD,PK-GII,UPG,19062026,1125,19062026,1835,773
UPG,026,1326,UPG,PK-GII,MED,18062026,2015,19062026,0715,773
UPG,026,1426,MED,PK-GII,HYD,19062026,0915,19062026,1505,773
UPG,026,1426,HYD,PK-GII,UPG,19062026,1625,19062026,2335,773
UPG,027,1327,UPG,PK-GII,MED,20062026,0320,20062026,1420,773
UPG,027,1427,MED,PK-GII,HYD,20062026,1620,20062026,2210,773
UPG,027,1427,HYD,PK-GII,UPG,20062026,2330,21062026,0640,773
UPG,028,1328,UPG,PK-GII,MED,20062026,0450,20062026,1550,773
UPG,028,1428,MED,PK-GII,HYD,20062026,1750,20062026,2340,773
UPG,028,1428,HYD,PK-GII,UPG,21062026,0100,21062026,0810,773
UPG,029,1329,UPG,PK-GII,MED,21062026,1415,22062026,0115,773
UPG,029,1429,MED,PK-GII,HYD,22062026,0315,22062026,0905,773
UPG,029,1429,HYD,PK-GII,UPG,22062026,1025,22062026,1735,773
UPG,030,1330,UPG,PK-GII,MED,21062026,2020,22062026,0720,773
UPG,030,1430,MED,PK-GII,HYD,22062026,0920,22062026,1510,773
UPG,030,1430,HYD,PK-GII,UPG,22062026,1630,22062026,2340,773
UPG,031,1331,UPG,PK-GII,MED,23062026,0320,23062026,1420,773
UPG,031,1431,MED,PK-GII,HYD,23062026,1620,23062026,2210,773
UPG,031,1431,HYD,PK-GII,UPG,23062026,2330,24062026,0640,773
UPG,032,1332,UPG,PK-GII,MED,23062026,0815,23062026,1915,773
UPG,032,1432,MED,PK-GII,HYD,23062026,2115,24062026,0305,773
UPG,032,1432,HYD,PK-GII,UPG,24062026,0425,24062026,1135,773
UPG,033,1333,UPG,PK-GII,MED,24062026,1415,25062026,0115,773
UPG,033,1433,MED,PK-GII,HYD,25062026,0415,25062026,1005,773
UPG,033,1433,HYD,PK-GII,UPG,25062026,1125,25062026,1835,773
UPG,034,1334,UPG,PK-GII,MED,24062026,1930,25062026,0630,773
UPG,034,1434,MED,PK-GII,HYD,25062026,0830,25062026,1420,773
UPG,034,1434,HYD,PK-GII,UPG,25062026,1540,25062026,2250,773
UPG,035,1335,UPG,PK-GII,MED,26062026,0100,26062026,1200,773
UPG,035,1435,MED,PK-GII,HYD,26062026,1400,26062026,1950,773
UPG,035,1435,HYD,PK-GII,UPG,26062026,2110,27062026,0420,773
UPG,036,1336,UPG,PK-GII,MED,26062026,0410,26062026,1510,773
UPG,036,1436,MED,PK-GII,HYD,26062026,1710,26062026,2300,773
UPG,036,1436,HYD,PK-GII,UPG,27062026,0020,27062026,0730,773
UPG,037,1337,UPG,PK-GII,MED,27062026,1200,27062026,2300,773
UPG,037,1437,MED,PK-GII,HYD,28062026,0100,28062026,0650,773
UPG,037,1437,HYD,PK-GII,UPG,28062026,0810,28062026,1520,773
UPG,038,1338,UPG,PK-GII,MED,27062026,1800,28062026,0500,773
UPG,038,1438,MED,PK-GII,HYD,28062026,0700,28062026,1250,773
UPG,038,1438,HYD,PK-GII,UPG,28062026,1410,28062026,2120,773
UPG,039,1339,UPG,PK-GII,MED,29062026,0100,29062026,1200,773
UPG,039,1439,MED,PK-GII,HYD,29062026,1400,29062026,1950,773
